BAND,LOCATION (STAGE),DATE (DAY),START,END
Vertigo,SOMA,"Friday, Aug 7",2026-08-07T12:00:00-07:00,2026-08-07T12:55:00-07:00
Faouzia,Lands End,"Friday, Aug 7",2026-08-07T12:05:00-07:00,2026-08-07T12:50:00-07:00
NEZZA,Twin Peaks,"Friday, Aug 7",2026-08-07T12:35:00-07:00,2026-08-07T13:20:00-07:00
NEZZA,Duboce Triangle,"Friday, Aug 7",2026-08-07T14:05:00-07:00,2026-08-07T14:35:00-07:00
DJ Starr Noir,Dolores’ x Hot Goth GF,"Friday, Aug 7",2026-08-07T14:30:00-07:00,2026-08-07T15:20:00-07:00
Durand Bernarr,Lands End,"Friday, Aug 7",2026-08-07T14:35:00-07:00,2026-08-07T15:25:00-07:00
The Story So Far,Sutro,"Friday, Aug 7",2026-08-07T14:55:00-07:00,2026-08-07T15:40:00-07:00
Wet Leg,Lands End,"Friday, Aug 7",2026-08-07T15:55:00-07:00,2026-08-07T16:45:00-07:00
Billie Marten,Panhandle,"Friday, Aug 7",2026-08-07T16:25:00-07:00,2026-08-07T17:05:00-07:00
Bootie Mashup: Diva Pop w/ DJ Tyme,Cocktail Magic,"Friday, Aug 7",2026-08-07T17:05:00-07:00,2026-08-07T18:05:00-07:00
Geese,Sutro,"Friday, Aug 7",2026-08-07T17:50:00-07:00,2026-08-07T18:50:00-07:00
The Emo Night Tour,Cocktail Magic,"Friday, Aug 7",2026-08-07T18:20:00-07:00,2026-08-07T19:20:00-07:00
Light Asylum,Dolores’ x Hot Goth GF,"Friday, Aug 7",2026-08-07T18:45:00-07:00,2026-08-07T19:30:00-07:00
Charli xcx,Lands End,"Friday, Aug 7",2026-08-07T20:40:00-07:00,2026-08-07T22:00:00-07:00
Modest Mouse,Sutro,"Friday, Aug 7",2026-08-07T20:50:00-07:00,2026-08-07T21:50:00-07:00
Haute & Freddy,Lands End,"Saturday, Aug 8",2026-08-08T13:25:00-07:00,2026-08-08T14:10:00-07:00
Wunderhorse,Sutro,"Saturday, Aug 8",2026-08-08T13:50:00-07:00,2026-08-08T14:35:00-07:00
After,Twin Peaks,"Saturday, Aug 8",2026-08-08T13:55:00-07:00,2026-08-08T14:35:00-07:00
Audrey Hobert,Lands End,"Saturday, Aug 8",2026-08-08T14:40:00-07:00,2026-08-08T15:30:00-07:00
Sienna Spiro,Sutro,"Saturday, Aug 8",2026-08-08T15:05:00-07:00,2026-08-08T15:50:00-07:00
Łaszewo,Twin Peaks,"Saturday, Aug 8",2026-08-08T15:10:00-07:00,2026-08-08T16:00:00-07:00
Lucy Dacus,Lands End,"Saturday, Aug 8",2026-08-08T16:00:00-07:00,2026-08-08T16:50:00-07:00
Yard Act,Sutro,"Saturday, Aug 8",2026-08-08T16:20:00-07:00,2026-08-08T17:05:00-07:00
Malcolm Todd,Twin Peaks,"Saturday, Aug 8",2026-08-08T16:45:00-07:00,2026-08-08T17:45:00-07:00
Sultan + Shepard,SOMA,"Saturday, Aug 8",2026-08-08T16:55:00-07:00,2026-08-08T18:25:00-07:00
Bootie Mashup: Hip Hop Fuego w/ DJ Airsun,Cocktail Magic,"Saturday, Aug 8",2026-08-08T17:05:00-07:00,2026-08-08T18:05:00-07:00
Łaszewo,Duboce Triangle,"Saturday, Aug 8",2026-08-08T18:20:00-07:00,2026-08-08T18:50:00-07:00
Ben Böhmer,SOMA,"Saturday, Aug 8",2026-08-08T18:40:00-07:00,2026-08-08T20:10:00-07:00
Djo,Lands End,"Saturday, Aug 8",2026-08-08T18:50:00-07:00,2026-08-08T19:50:00-07:00
The xx,Twin Peaks,"Saturday, Aug 8",2026-08-08T20:10:00-07:00,2026-08-08T21:25:00-07:00
Lane 8,SOMA,"Saturday, Aug 8",2026-08-08T20:25:00-07:00,2026-08-08T21:55:00-07:00
The Strokes,Lands End,"Saturday, Aug 8",2026-08-08T20:35:00-07:00,2026-08-08T21:55:00-07:00
PinkPantheress,Sutro,"Saturday, Aug 8",2026-08-08T20:45:00-07:00,2026-08-08T21:45:00-07:00
Death Cab for Cutie,Sutro,"Sunday, Aug 9",2026-08-09T12:40:00-07:00,2026-08-09T13:30:00-07:00
Balu Brigada,Lands End,"Sunday, Aug 9",2026-08-09T14:25:00-07:00,2026-08-09T15:15:00-07:00
Momma,Sutro,"Sunday, Aug 9",2026-08-09T15:00:00-07:00,2026-08-09T15:45:00-07:00
Night Tapes,Panhandle,"Sunday, Aug 9",2026-08-09T16:30:00-07:00,2026-08-09T17:10:00-07:00
Boys Noize,SOMA,"Sunday, Aug 9",2026-08-09T16:45:00-07:00,2026-08-09T18:20:00-07:00
The Temper Trap,Sutro,"Sunday, Aug 9",2026-08-09T17:35:00-07:00,2026-08-09T18:25:00-07:00
Miss Monique,SOMA,"Sunday, Aug 9",2026-08-09T18:20:00-07:00,2026-08-09T19:55:00-07:00
Empire Of The Sun,Lands End,"Sunday, Aug 9",2026-08-09T18:45:00-07:00,2026-08-09T19:45:00-07:00
Not for Radio,Sutro,"Sunday, Aug 9",2026-08-09T19:05:00-07:00,2026-08-09T19:55:00-07:00
RÜFÜS DU SOL,Lands End,"Sunday, Aug 9",2026-08-09T20:25:00-07:00,2026-08-09T21:55:00-07:00
Death Cab for Cutie,Sutro,"Sunday, Aug 9",2026-08-09T20:25:00-07:00,2026-08-09T21:40:00-07:00
